User ID,Name,Age,Gender,Area of Residence,Specific Address,Destination Address,Aadhaar Number,Time of Departure,Preferred Mode of Travel,Frequency of Commute in a Week,Occupation,Fellow Commuter Age Preference,Fellow Commuter Gender Preference,Car Owner,Vehicle Details,Average Commute Distance (km),Comfort with Carpooling,Peak Demand,Emergency Contact Number,Incentive Preference,Cost Sharing Preference,index,max_ppl,final rating,Index,Max People in Carpool
U1000,Suresh Rastogi,35,Male,Navi Mumbai,"39 D Avenue, Navi Mumbai","15 D Avenue, Navi Mumbai",323157265009,19:44,rickshaw,4,Other,Any,Female,False,None,26.66,Very Comfortable,False,7130985182.0,Loyalty Points,By Time,1.0,3,4,10001.0,2
U1001,Mohan Bhattacharya,21,Others,Central Mumbai,"60 C Lane, Central Mumbai","25 B Road, Navi Mumbai",878079171104,7:16,rickshaw,2,Teacher,Any,Others,False,None,26.77,Very Comfortable,False,8788315244.0,Cashback,By Distance,2.0,3,3,10002.0,2
U1002,Pranav Iyer,53,Female,South Mumbai,"86 D Avenue, South Mumbai","78 A Street, South Mumbai",150465101634,11:20,taxi,2,Healthcare Worker,18-25,Female,False,None,3.23,Somewhat Comfortable,True,9583396659.0,Cashback,Equal Split,3.0,4,5,10003.0,2
U1003,Mukesh Gupta,50,Female,South Mumbai,"57 A Street, South Mumbai","15 D Avenue, Navi Mumbai",587551135411,9:32,rickshaw,4,IT Professional,Any,Others,True,Hatchback,9.32,Neutral,True,7576390977.0,Cashback,Equal Split,4.0,3,5,10004.0,2
U1004,Swara Agarwal,20,Female,Central Mumbai,"8 B Road, Central Mumbai","92 B Road, Navi Mumbai",644003997364,17:01,cab,2,Teacher,36-45,Others,False,None,2.78,Neutral,False,9249643854.0,Loyalty Points,By Time,5.0,6,5,10005.0,2
U1005,Zara Goel,60,Female,Western Suburbs,"47 A Street, Western Suburbs","47 A Street, Navi Mumbai",380062844781,6:43,cab,7,Other,Any,Others,False,None,17.94,Somewhat Uncomfortable,True,8553322707.0,Cashback,By Distance,6.0,6,4,10006.0,2
U1006,Dhruv Rastogi,26,Female,North Mumbai,"34 D Avenue, North Mumbai","67 C Lane, Western Suburbs",566443690886,13:19,cab,6,Healthcare Worker,Any,Female,True,Hatchback,23.66,Somewhat Comfortable,False,8572380669.0,Loyalty Points,Equal Split,7.0,6,4,10007.0,2
U1007,Deepika Gupta,42,Male,North Mumbai,"47 A Street, North Mumbai","15 D Avenue, Navi Mumbai",978200328882,19:02,Personal Car,3,Student,18-25,Others,False,None,23.96,Neutral,True,8057577309.0,Loyalty Points,Equal Split,8.0,3,4,10008.0,2
U1008,Rajesh Das,60,Male,Western Suburbs,"19 D Avenue, Western Suburbs","15 D Avenue, Navi Mumbai",970629962961,12:44,taxi,2,Banker,36-45,Male,True,Hatchback,11.24,Neutral,True,9271631737.0,Cashback,Equal Split,9.0,4,4,10009.0,2
U1009,Zara Yadav,47,Male,Central Mumbai,"8 C Lane, Central Mumbai","15 D Avenue, Navi Mumbai",812982578459,13:11,cab,6,Student,36-45,Female,True,Sedan,23.46,Somewhat Comfortable,True,9855467046.0,Loyalty Points,Equal Split,10.0,6,4,10010.0,2
